         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\random.py:791(getrandbits)
      500    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:494(unwrap)
      300    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:245(__init__)
      202    0.001    0.000    0.012    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:1004(<genexpr>)
        6    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\cast.py:468(maybe_promote)
        7    0.001    0.000    0.007    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:7106(_maybe_cast_data_without_dtype)
       88    0.001    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:687(_values)
     6108    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      207    0.001    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
        5    0.001    0.000    0.047    0.009 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\frame.py:587(__init__)
        4    0.001    0.000    0.001    0.000 {pandas._libs.algos.ensure_object}
     1850    0.001    0.000    0.012    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
      100    0.001    0.000    0.117    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:157(_make_estimator)
      607    0.001    0.000    0.081    0.000 {built-in method builtins.next}
        1    0.001    0.001    0.001    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\numeric.py:125(inferred_type)
      715    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:28(get_config)
      303    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:242(helper)
      118    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1587(_is_dtype_type)
        3    0.001    0.000    0.005    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\uuid.py:713(uuid4)
      102    0.001    0.000    0.221    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:149(ones)
        5    0.001    0.000    0.003    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:2473(is_categorical)
